Date,TSM_Price_USD,2330TW_Price_TWD,USD_TWD_Rate,TSM_Implied_TWD,ADR_Premium_Pct
2021-08-06,108.96589660644531,539.7310180664062,27.72640037536621,604.2464153142122,11.953249876009208
2021-08-09,108.97510528564453,543.384033203125,27.82229995727539,606.3876134265738,11.594669032149705
2021-08-10,107.26058197021484,539.7310180664062,27.785600662231445,596.0599394845863,10.436480308280066
2021-08-11,106.91947174072266,538.8177490234375,27.826200485229492,595.0325312864355,10.432986360394152
2021-08-12,106.65217590332031,535.1649780273438,27.791500091552734,592.804791276285,10.770475575850586
2021-08-13,106.46780395507812,530.5985717773438,27.796499252319336,591.8864466066822,11.550704824561192
2021-08-16,105.66585540771484,533.3381958007812,27.808000564575195,587.6712333668111,10.187351664257125
2021-08-17,102.42110443115234,533.3381958007812,27.78969955444336,569.2503440351982,6.733466404088419
2021-08-18,101.81270599365234,524.205810546875,27.89940071105957,568.1026963988406,8.37397925943828
2021-08-19,101.87725830078125,510.5070495605469,27.842199325561523,567.2973864704138,11.12430023419912
2021-08-20,99.66494750976562,504.1143493652344,28.01799964904785,558.4824928701971,10.784883146734758
2021-08-23,102.28284454345703,516.8998413085938,27.97100067138672,572.190702679276,10.696629588956116
2021-08-24,103.3429183959961,522.3792724609375,27.901199340820312,576.6782733257627,10.394555015366839
2021-08-25,107.87816619873047,534.2515869140625,27.89310073852539,601.8113114537147,12.645675968861378
2021-08-26,108.86448669433594,542.4708251953125,27.884899139404297,607.1350462669158,11.920313142798307
2021-08-27,109.22398376464844,547.0371704101562,27.91659927368164,609.83243716656,11.479159032158867
2021-08-30,109.68489074707031,552.5165405273438,27.87299919128418,611.4493742178369,10.666256911375951
2021-08-31,109.70332336425781,560.73583984375,27.72920036315918,608.3970868143892,8.499768265912898
2021-09-01,111.0399169921875,559.8226318359375,27.568700790405273,612.245249469811,9.364147616175078
2021-09-02,111.3441390991211,554.3430786132812,27.671600341796875,616.2141035104636,11.161143213324861
2021-09-03,114.27545928955078,566.2152709960938,27.62660026550293,631.4084867898346,11.513856855017705
2021-09-07,114.94837188720703,568.9552001953125,27.533100128173828,632.9770065482065,11.252521522066491
2021-09-08,112.35810852050781,565.3021240234375,27.59119987487793,620.0190059505112,9.679228080311464
2021-09-09,113.08631896972656,565.3021240234375,27.670700073242188,625.8355229196604,10.708149912012928
2021-09-10,113.3536605834961,568.0418701171875,27.629600524902344,626.3832719914732,10.27061647097419
2021-09-13,113.95281982421875,561.6490478515625,27.65049934387207,630.1704739563866,12.200043134931745
2021-09-14,113.46427917480469,559.8226318359375,27.639400482177734,627.2169305068091,12.038509134554303
2021-09-15,111.99859619140625,554.3430786132812,27.63559913635254,619.0296616359847,11.669052166127942
2021-09-16,111.80146026611328,550.444091796875,27.612699508666992,617.4280253916718,12.169071226858623
2021-09-17,108.98767852783203,550.444091796875,27.69300079345703,603.6391735896585,9.664029932473793
2021-09-22,107.24758911132812,537.6005249023438,27.718599319458008,594.5505901109544,10.593379762595243
2021-09-23,107.54376983642578,539.4352416992188,27.703899383544922,595.8763557750906,10.463000878118857
2021-09-24,107.03469848632812,548.6093139648438,27.684999465942383,592.6511140862596,8.02789872507307
2021-09-27,107.5067367553711,552.2789306640625,27.726999282836914,596.1678425832623,7.946874211990597
2021-09-28,103.572998046875,544.939697265625,27.654199600219727,572.8456722362898,5.120928996490847
2021-09-29,103.31385040283203,532.0960693359375,27.738100051879883,573.1459838437412,7.714756201645033
2021-09-30,103.34160614013672,532.0960693359375,27.812400817871094,574.8356342264102,8.032302314093808
2021-10-01,103.2583236694336,526.591552734375,27.836599349975586,574.8721171072248,9.168503391698652
2021-10-04,100.90731811523438,524.7567749023438,27.753999710083008,560.1163355430937,6.738276156097321
2021-10-05,101.12944793701172,524.7567749023438,27.882299423217773,563.9443095768947,7.467752023181353
2021-10-06,101.2034912109375,523.8392944335938,27.871000289916992,564.1285065761301,7.691139738972706
2021-10-07,102.58262634277344,532.0960693359375,27.951000213623047,573.4574021641747,7.773282911083457
2021-10-08,101.85143280029297,527.509033203125,27.9685001373291,569.726362452432,8.003148115389829
2021-10-12,101.07392120361328,527.509033203125,28.042999267578125,566.8831796568353,7.464165346065024
2021-10-13,101.79588317871094,523.8392944335938,28.128700256347656,572.6771770528285,9.323065897918399
2021-10-14,104.18389892578125,525.6741943359375,27.999500274658203,583.4194213174749,10.984984160100256
2021-10-15,106.312744140625,550.444091796875,27.98889923095703,595.1153365436941,8.115491729776556
2021-10-18,106.75702667236328,541.2700805664062,28.0,597.8393493652344,10.451209263152297
2021-10-19,108.25646209716797,550.444091796875,27.949199676513672,605.1362950853363,9.936014229878198
2021-10-20,106.98841857910156,548.6093139648438,27.8262996673584,595.418359263771,8.53230962497419
2021-10-21,107.6363296508789,546.7744750976562,27.805999755859375,598.5871511987875,9.47605977617688
2021-10-22,105.7296142578125,550.444091796875,27.818500518798828,588.2478658166714,6.8678680692873595
2021-10-25,105.18351745605469,544.022216796875,27.836999893188477,585.5987128378765,7.64242612843975
2021-10-26,105.68334197998047,549.5267333984375,27.80620002746582,587.7304293332825,6.952108717001246
2021-10-27,105.28534698486328,549.5267333984375,27.796300888061523,585.3086367790443,6.511403578006257
2021-10-28,107.37718200683594,545.8571166992188,27.762500762939453,596.2118194774142,9.224887106481054
2021-10-29,105.23905181884766,541.2700805664062,27.72330093383789,583.5147807131347,7.80473587280529
2021-11-01,105.62782287597656,541.2700805664062,27.816699981689453,587.6434917320148,8.567517923230044
2021-11-02,105.6185531616211,543.1047973632812,27.80109977722168,587.2623869544041,8.130583601084622
2021-11-03,105.52599334716797,543.1047973632812,27.85849952697754,587.9591671491828,8.258879318257724
2021-11-04,109.02468872070312,538.5177612304688,27.789499282836914,605.9483018030994,12.521507260699707
2021-11-05,109.03394317626953,550.444091796875,27.874099731445312,607.8446012416156,10.428036252939295
2021-11-08,111.91253662109375,552.2789306640625,27.83009910583496,622.9073970700847,12.788549858510487
2021-11-09,112.71780395507812,560.5355224609375,27.80120086669922,626.7380618016701,11.81058767695604
2021-11-10,109.40419006347656,561.453125,27.731300354003906,606.7840909273597,8.073864746475437
2021-11-11,109.39494323730469,555.9486083984375,27.759000778198242,607.3388628910586,9.243705931860294
2021-11-12,109.85773468017578,554.11376953125,27.801700592041016,610.8463694596256,10.238438935810658
2021-11-15,109.33014678955078,557.7833251953125,27.781299591064453,607.4667124591128,8.907291598651373
2021-11-16,109.2931137084961,559.6182250976562,27.752500534057617,606.6314393127715,8.400944091288517
2021-11-17,110.20018005371094,559.6182250976562,27.80069923400879,612.7284122413665,9.490432005577066
2021-11-18,114.20796966552734,562.3704833984375,27.740699768066406,633.6417995223659,12.673374266236678
2021-11-19,115.01324462890625,566.9573974609375,27.806400299072266,639.6208639692982,12.81638917382096
2021-11-22,115.4667739868164,564.2052612304688,27.792999267578125,641.8335929690395,13.758881221573867
2021-11-23,112.32904052734375,561.453125,27.769500732421875,623.8642746392637,11.116003609252994
2021-11-24,111.72740936279297,553.1964111328125,27.751399993896484,620.1184055017366,12.09732981309188
2021-11-26,108.37680053710938,546.7744750976562,27.764699935913086,601.8098693854291,10.065465158728069
2021-11-29,110.40381622314453,544.022216796875,27.853900909423828,615.0353914203413,13.053359298739986
2021-11-30,108.43233489990234,546.7744750976562,27.7455997467041,601.704032746653,10.046108615290802
2021-12-01,111.65336608886719,550.444091796875,27.578699111938477,615.8509176399966,11.882555706903302
2021-12-02,112.64374542236328,564.2052612304688,27.60449981689453,621.8948499771883,10.224929243110033
2021-12-03,110.45011138916016,557.7833251953125,27.678699493408203,611.4230884308054,9.616594977397442
2021-12-06,110.27423095703125,550.444091796875,27.65719985961914,609.9752889888827,10.815121477219138
2021-12-07,113.2176284790039,556.8660888671875,27.65920066833496,626.3018210587529,12.469017880549346
2021-12-08,112.73629760742188,552.2789306640625,27.742599487304688,625.5195904408581,13.261534291871452
2021-12-09,110.60747528076172,557.7833251953125,27.630699157714844,611.2323748154216,9.582403633416881
2021-12-10,110.26497650146484,555.0311889648438,27.68560028076172,610.5504128774279,10.002901641641044
2021-12-13,107.75665283203125,551.361572265625,27.63599967956543,595.5925646274118,8.02213911644861
2021-12-14,107.6363296508789,549.5267333984375,27.745899200439453,597.2933505597116,8.692319091715714
2021-12-15,111.44047546386719,550.444091796875,27.78420066833496,619.2569065725489,12.501326801608629
2021-12-16,108.34178924560547,557.5867919921875,27.739700317382812,601.0737531044288,7.799137593784784
2021-12-17,108.10945892333984,559.4301147460938,27.757699966430664,600.1739848654455,7.283102758571373
2021-12-20,106.82686614990234,551.1353149414062,27.827199935913086,594.5385125760718,7.875234349531729
2021-12-21,109.150390625,550.2137451171875,27.815399169921875,607.2123369574547,10.359354404737257
2021-12-22,112.73794555664062,552.9785766601562,27.730199813842773,625.2491513775545,13.069326329763689
2021-12-23,112.16171264648438,558.5084228515625,27.711000442504883,621.6226537557668,11.300497597146979
2021-12-27,114.03910064697266,558.5084228515625,27.67930030822754,631.3045027375483,13.034016481669639
2021-12-28,113.44429779052734,566.8031616210938,27.683700561523438,628.1115940890509,10.816529726582862
2021-12-29,112.84017944335938,567.7247314453125,27.53499984741211,621.4108647509711,9.45636685035449
2021-12-30,111.9200668334961,566.8031616210938,27.617399215698242,618.188233197658,9.06577010431621
2022-01-03,119.70856475830078,581.5490112304688,27.70210075378418,663.2357444050693,14.046405650619878
2022-01-04,123.98384857177734,604.5899658203125,27.62470054626465,685.0033378737543,13.3004807554714
2022-01-05,118.09136199951172,599.06005859375,27.515499114990234,649.8685533171113,8.481369103897615
